Perak,Tapah,PRK01,A1
Perak,Grik,PRK03,A10
Perak,Lenggong,PRK03,A11
Perak,Temengor,PRK04,A12
Perak,Belum,PRK04,A13
Perak,Teluk Intan,PRK05,A14
Perak,Bagan Datoh,PRK05,A15
Perak,Kampung Gajah,PRK05,A16
Perak,Sri Iskandar,PRK05,A17
Perak,Beruas,PRK05,A18
Perak,Parit,PRK05,A19
Perak,Slim River,PRK01,A2
Perak,Lumut,PRK05,A20
Perak,Setiawan,PRK05,A21
Perak,Pulau Pangkor,PRK05,A22
Perak,Selama,PRK06,A23
Perak,Taiping,PRK06,A24
Perak,Bagan Serai,PRK06,A25
Perak,Parit Buntar,PRK06,A26
Perak,Bukit Larut,PRK07,A27
Perak,Tanjung Malim,PRK01,A3
Perak,Ipoh,PRK02,A4
Perak,Batu Gajah,PRK02,A5
Perak,Kampar,PRK02,A6
Perak,Sungai Siput,PRK02,A7
Perak,Kuala Kangsar,PRK02,A8
Perak,Pengkalan Hulu,PRK03,A9
Selangor,Gombak,SGR01,B1
Selangor,Klang,SGR03,B10
Selangor,Kuala Langat,SGR03,B11
Selangor,Hulu Selangor,SGR01,B2
Selangor,Rawang,SGR01,B3
Selangor,Hulu Langat,SGR01,B4
Selangor,Sepang,SGR01,B5
Selangor,Petaling,SGR01,B6
Selangor,Shah Alam,SGR01,B7
Selangor,Sabak Bernam,SGR02,B8
Selangor,Kuala Selangor,SGR02,B9
Pahang,Pulau Tioman,PHG01,C1
Pahang,Jerantut,PHG03,C10
Pahang,Bentong,PHG04,C11
Pahang,Raub,PHG04,C12
Pahang,Kuala Lipis,PHG04,C13
Pahang,Genting Sempah,PHG05,C14
Pahang,Janda Baik,PHG05,C15
Pahang,Bukit Tinggi,PHG05,C16
Pahang,Bukit Fraser,PHG06,C17
Pahang,Genting Highlands,PHG06,C18
Pahang,Cameron Highlands,PHG06,C19
Pahang,Kuantan,PHG02,C2
Pahang,Pekan,PHG02,C3
Pahang,Rompin,PHG02,C4
Pahang,Muadzam Shah,PHG02,C5
Pahang,Maran,PHG03,C6
Pahang,Chenor,PHG03,C7
Pahang,Temerloh,PHG03,C8
Pahang,Bera,PHG03,C9
Kelantan,Kota Bahru,KTN01,D1
Kelantan,Jeli,KTN03,D10
Kelantan,Gua Musang,KTN03,D11
Kelantan,Mukim Galas,KTN03,D12
Kelantan,Bertam,KTN03,D13
Kelantan,Bachok,KTN01,D2
Kelantan,Pasir Puteh,KTN01,D3
Kelantan,Tumpat,KTN01,D4
Kelantan,Pasir Mas,KTN01,D5
Kelantan,Tanah Merah,KTN01,D6
Kelantan,Machang,KTN01,D7
Kelantan,Kuala Krai,KTN01,D8
Kelantan,Mukim Chiku,KTN01,D9
Sabah,Sandakan,SBH01,E1
Sabah,Telupit,SBH02,E10
Sabah,Lahad Datu,SBH03,E11
Sabah,Kunak,SBH03,E12
Sabah,Silabukan,SBH03,E13
Sabah,Tungku,SBH03,E14
Sabah,Sahabat,SBH03,E15
Sabah,Semporna,SBH03,E16
Sabah,Tawau,SBH04,E17
Sabah,Balong,SBH04,E18
Sabah,Merotai,SBH04,E19
Sabah,Bandar Bukit Garam,SBH01,E2
Sabah,Kalabakan,SBH04,E20
Sabah,Kudat,SBH05,E21
Sabah,Kota Marudu,SBH05,E22
Sabah,Pitas,SBH05,E23
Sabah,Pulau Banggi,SBH05,E24
Sabah,Gunung Kinabalu,SBH06,E25
Sabah,Papar,SBH07,E26
Sabah,Ranau,SBH07,E27
Sabah,Kota Belud,SBH07,E28
Sabah,Tuaran,SBH07,E29
Sabah,Semawang,SBH01,E3
Sabah,Penampang,SBH07,E30
Sabah,Kota Kinabalu,SBH07,E31
Sabah,Pensiangan,SBH08,E32
Sabah,Keningau,SBH08,E33
Sabah,Tambunan,SBH08,E34
Sabah,Nabawan,SBH08,E35
Sabah,Sipitang,SBH09,E36
Sabah,Membakut,SBH09,E37
Sabah,Beaufort,SBH09,E38
Sabah,Kuala Penyu,SBH09,E39
Sabah,Temanggong,SBH01,E4
Sabah,Weston,SBH09,E40
Sabah,Tenom,SBH09,E41
Sabah,Long Pa Sia,SBH09,E42
Sabah,Tambisan,SBH01,E5
Sabah,Penangah,SBH02,E6
Sabah,Terusan,SBH02,E7
Sabah,Beluran,SBH02,E8
Sabah,Kuamut,SBH02,E9
Johor,Pulau Aur,JHR01,J1
Johor,Segamat,JHR04,J10
Johor,Gemas,JHR04,J11
Johor,Batu Pahat,JHR04,J12
Johor,Pemanggil,JHR01,J2
Johor,Kota Tinggi,JHR02,J3
Johor,Mersing,JHR02,J4
Johor,Johor Bahru,JHR02,J5
Johor,Kluang,JHR03,J6
Johor,Pontian,JHR03,J7
Johor,Batu Pahat,JHR04,J8
Johor,Muar,JHR04,J9
Kedah,Kota Setar,KDH01,K1
Kedah,Kulim,KDH05,K10
Kedah,Bandar Bahru,KDH05,K11
Kedah,Langkawi,KDH06,K12
Kedah,Gunung Jerai,KDH07,K13
Kedah,Kubang Pasu,KDH01,K2
Kedah,Pokok Sena,KDH01,K3
Kedah,Pendang,KDH02,K4
Kedah,Kuala Muda,KDH02,K5
Kedah,Yan,KDH02,K6
Kedah,Padang Terap,KDH03,K7
Kedah,Sik,KDH03,K8
Kedah,Baling,KDH04,K9
Kuala Lumpur,Kuala Lumpur,SGR03,KL1
Labuan,Labuan,WLY02,L1
Melaka,Bandar Melaka,MLK01,M1
Melaka,Alor Gajah,MLK01,M2
Melaka,Jasin,MLK01,M3
Melaka,Masjid Tanah,MLK01,M4
Melaka,Merlimau,MLK01,M5
Melaka,Nyalas,MLK01,M6
Negeri Sembilan,Jempol,NGS01,N1
Negeri Sembilan,Tampin,NGS01,N2
Negeri Sembilan,Port Dickson,NGS02,N3
Negeri Sembilan,Seremban,NGS02,N4
Negeri Sembilan,Kuala Pilah,NGS02,N5
Negeri Sembilan,Jelebu,NGS02,N6
Negeri Sembilan,Rembau,NGS02,N7
Pulau Pinang,Pulau Pinang,PNG01,P1
Putrajaya,Putrajaya,SGR04,PJ
Sarawak,Limbang,SWK01,Q1
Sarawak,Tatau,SWK03,Q10
Sarawak,Suai,SWK03,Q11
Sarawak,Belaga,SWK03,Q12
Sarawak,Pandan,SWK03,Q13
Sarawak,Sebauh,SWK03,Q14
Sarawak,Bintulu,SWK03,Q15
Sarawak,Igan,SWK04,Q16
Sarawak,Oya,SWK04,Q17
Sarawak,Balingian,SWK04,Q18
Sarawak,Mukah,SWK04,Q19
Sarawak,Sundar,SWK01,Q2
Sarawak,Dalat,SWK04,Q20
Sarawak,Sibu,SWK04,Q21
Sarawak,Kanowit,SWK04,Q22
Sarawak,Kapit,SWK04,Q23
Sarawak,Song,SWK04,Q24
Sarawak,Tanjung Manis,SWK05,Q25
Sarawak,Belawai,SWK05,Q26
Sarawak,Matu,SWK05,Q27
Sarawak,Daro,SWK05,Q28
Sarawak,Sarikei,SWK05,Q29
Sarawak,Trusan,SWK01,Q3
Sarawak,Julau,SWK05,Q30
Sarawak,Bintangor,SWK05,Q31
Sarawak,Rajang,SWK05,Q32
Sarawak,Kabong,SWK06,Q33
Sarawak,Lingga,SWK06,Q34
Sarawak,Sri Aman,SWK06,Q35
Sarawak,Engkelili,SWK06,Q36
Sarawak,Lubok Antu,SWK06,Q37
Sarawak,Betong,SWK06,Q38
Sarawak,Spaoh,SWK06,Q39
Sarawak,Lawas,SWK01,Q4
Sarawak,Pusa,SWK06,Q40
Sarawak,Saratok,SWK06,Q41
Sarawak,Roban,SWK06,Q42
Sarawak,Debak,SWK06,Q43
Sarawak,Samarahan,SWK07,Q44
Sarawak,Simunjan,SWK07,Q45
Sarawak,Serian,SWK07,Q46
Sarawak,Sebuyau,SWK07,Q47
Sarawak,Meludam,SWK07,Q48
Sarawak,Kuching,SWK08,Q49
Sarawak,Niah,SWK02,Q5
Sarawak,Bau,SWK08,Q50
Sarawak,Lundu,SWK08,Q51
Sarawak,Sematan,SWK08,Q52
Sarawak,Zon Khas,SWK09,Q53
Sarawak,Bekenu,SWK02,Q6
Sarawak,Miri,SWK02,Q7
Sarawak,Sibuti,SWK02,Q8
Sarawak,Marudi,SWK02,Q9
Perlis,Kangar,PLS01,R1
Perlis,Padang Besar,PLS01,R2
Perlis,Arau,PLS01,R3
Terengganu,Kuala Terengganu,TRG01,T1
Terengganu,Marang,TRG01,T2
Terengganu,Besut,TRG02,T3
Terengganu,Setiu,TRG02,T4
Terengganu,Hulu Terengganu,TRG03,T5
Terengganu,Kamaman,TRG04,T6
Terengganu,Dungun,TRG04,T7